"Institute","Institute_standardized"
"Univ Valencia, Cavanilles Inst Biodivers & Evolutionary Biol, Sci Pk,POB 22085, Valencia 46071, Spain.","University of Valencia"
"Univ Valencia, Dept Zool, Inst Cavanilles Biodiversidad & Biol Evolut, Apdo Correos 22085, Valencia 46071, Spain.","University of Valencia"
"Univ Valencia, Inst Cavanilles Biodiversitat & Biol Evolut, Valencia, Spain.","University of Valencia"
"University of Valencia","University of Valencia"
"Univ Valencia, Cavanilles Inst Biodivers & Evolutionary Biol, Marine Zool Unit, Sci Pk,C Catedrat Jose Beltran 2, Paterna 46980, Spain;","University of Valencia - Cavanilles Institute of Biodiversity & Evolutionary Biology - Marine Zoology Unit"
"Univ Valencia, Marine Zool Unit, Cavanilles Inst Biodivers & Evolutionary Biol, Valencia 46980, Spain","University of Valencia - Cavanilles Institute of Biodiversity & Evolutionary Biology - Marine Zoology Unit"
"Univ Valencia, Dept Microbiol & Ecol, E-46100 Burjassot, Spain;","University of Valencia - Department of Microbiology & Ecology"
"Univ Vermont","University of Vermont"
"Univ Vermont, Dept Biol, Burlington, VT 05405 USA;","University of Vermont"
"Univ Vet Med Hannover","University of Vetenary Medicine Hannover"
"University of Vetenary Medicine Hannover - Insitute for Animal Ecology","University of Vetenary Medicine Hannover - Insitute for Animal Ecology and Cell Biology (TiHo)"
"University of Vetenary Medicine Hannover - Insitute for Animal Ecology and Cell Biology (TiHo) - division of ecology and evolution","University of Vetenary Medicine Hannover - Insitute for Animal Ecology and Cell Biology (TiHo) - division of ecology and evolution"
"Univ Vet Med Hannover, Inst Tierokol & Zellbiol Ecol & Evolut, Hannover, Germany;","University of Vetenary Medicine Hannover - Institute of Tierokol & Zellbiol Ecology & Evolution"
"Univ Victoria","University of Victoria"
"Univ Victoria, Sch Environm Studies, Victoria, BC V8W 3R4, Canada.","University of Victoria"
"Ocean Networks Canada, University of Victoria","University of Victoria - Ocean Networks Canada"
"Univ Victoria, Sch Environm Studies, POB 1700 STN CSC, Victoria, BC V8W 2Y2, Canada;","University of Victoria - School of Environmental Studies"
"Univ Victoria, Sch Environm Studies, Victoria, BC V8W 3R4, Canada;","University of Victoria - School of Environmental Studies"
"Univ Vienna","University of Vienna"
"Univ Vienna, Dept Integrat Zool, Althanstr 14, A-1090 Vienna, Austria.","University of Vienna"
"Univ Vienna, Dept Palaeontol, A-1090 Vienna, Austria.","University of Vienna"
"Univ Wien","University of Vienna"
"Univ Wien, Fak Geowissensch Geog & Astron, Geozentrum, Inst Palaontol, A-1090 Vienna, Austria.","University of Vienna"
"Universität Wien","University of Vienna"
"Univ Vienna, Dept Limnol & Biooceanog, A-1090 Vienna, Austria;","University of Vienna - Department of Limnology and Biooceanography"
"Univ Vienna, Dept Limnol & Riooceanog, Vienna, Austria;","University of Vienna - Department of Limnology and Biooceanography"
"Univ Vienna, Dept Palaeontol, A-1090 Vienna, Austria","University of Vienna - Department of Palaeontology"
"Univ Vienna, Dept Palaeontol, Althanstr 14, A-1090 Vienna, Austria;","University of Vienna - Department of Palaeontology"
"Univ Wien, Fak Geowissensch Geog &amp; Astron, Geozentrum, Inst Palaontol, A-1090 Vienna, Austria.","University of Vienna - Faculty of Earth Sciences, Geography and Astronomy - Institute of Palaontology"
"Univ Wien, Geozentrum, Fak Geowissensch Geog & Astron, Inst Palaontol, Althanstr 14, A-1090 Vienna, Austria;","University of Vienna - Faculty of Earth Sciences, Geography and Astronomy - Institute of Palaontology"
"Univ Vigo","University of Vigo"
"Univ Vigo, Campus Lagoas Marcosende, E-36310 Vigo, Spain;","University of Vigo"
"Univ Vigo, Estn Ciencias Marinas Toralla ECIMAT, Vigo, Spain.","University of Vigo"
"Univ Vigo, Fac Ciencias Mar, Dept Ecol & Biol Anim, Vigo 36310, Spain.","University of Vigo"
"Univerisity of Vigo","University of Vigo"
"Universidade de Vigo","University of Vigo"
"Univ Vigo, Dept Bioquim Xenet & Inmunol, E-36310 Vigo, Spain","University of Vigo - Department of Bioquim Xenet & Inmunoloxia"
"Univ Vigo, Dept Bioquim Xenet & Inmunoloxia, E-36310 Vigo, Spain;","University of Vigo - Department of Bioquim Xenet & Inmunoloxia"
"Univ Vigo, Dept Bioquim Xenet & Inmunoloxia, Vigo 36310, Spain;","University of Vigo - Department of Bioquim Xenet & Inmunoloxia"
"Univ Vigo, Fac Ciencias Mar, Dept Ecol &amp; Biol Anim, Vigo 36310, Spain.","University of Vigo - Faculty of Marine Sciences - Department of Ecology and Animal Biology"
"Univ Virgin Isl","University of Virgin Island"
"Univ Virgin Isl, Dept Biol Sci, 2 John Brewers Bay, St Thomas, VI 00802 USA;","University of Virgin Island"
"Univ Waikato","University of Waikato"
"Univ Waikato, Sch Sci, Hamilton 3240, New Zealand.","University of Waikato"
"University of Waikato","University of Waikato"
"University of Warsaw - Faculty of Biology","University of Warsaw - Faculty of Biology"
"Univ Washington","University of Washington"
"Univ Washington, Dept Biol, Seattle, WA 98195 USA;","University of Washington"
"Univ Washington, Sch Aquat & Fishery Sci, Seattle, WA 98195 USA.","University of Washington"
"Univ Washington, Sch Sci Technol Engn & Math, Div Biol Sci, UWBB 277, Bothell, WA 98011 USA.","University of Washington"
"University of Washington","University of Washington"
"University of Washington, School of Aquatic and Fishery Sciences, Washington","University of Washington - School of Aquatic and Fishery Sciences"
"Univ Waterloo","University of Waterloo"
"Univ Waterloo, Waterloo, ON N2L 3G1, Canada;","University of Waterloo"
"Univ Waterloo, Dept Biol, 200 Univ Ave W, Waterloo, ON N2L 3G1, Canada;","University of Waterloo - Department of Biology"
"Univ Western Australia","University of Western Australia"
"Univ Western Australia, Ctr Evolutionary Biol, 35 Stirling Highway, Crawley, WA 6009, Australia.","University of Western Australia"
"Univ Western Australia, UWA Oceans Inst, M092, Crawley, Australia.","University of Western Australia"
"University of Western Australia","University of Western Australia"
"UWA Oceans Inst","University of Western Australia - Oceans Institutes"
"Univ Western Cape","University of Western Cape"
"Univ Western Cape, Dept Biodivers & Conservat Biol, ZA-7535 Bellville, South Africa","University of Western Cape - Department of Biodiversity & Conservation Biology"
"Univ Western Cape, Dept Biodivers &amp; Conservat Biol, ZA-7535 Bellville, South Africa.","University of Western Cape - Department of Biodiversity & Conservation Biology"
"Univ Western Cape, Dept Chem, ZA-7535 Bellville, South Africa;","University of Western Cape - Department of Chemistry"
"Univ Windsor","University of Windsor"
"Univ Windsor, Biol Sci, 401 Sunset Ave, Windsor, ON N9B 3P4, Canada.","University of Windsor"
"Univ Windsor, Integrat Biol, 401 Sunset Ave, Windsor, ON N9B 3P4, Canada.","University of Windsor"
"University of Windsor","University of Windsor"
"Univ Windsor, Great Lakes Inst Environm Res, Windsor, ON N9B 3P4, Canada.","University of Windsor - Great Lakes Institute for Environmental Research (GLIER)"
"Univ Windsor, Great Lakes Inst Environm Res, Windsor, ON N9B 3P4, Canada;","University of Windsor - Great Lakes Institute for Environmental Research (GLIER)"
"Univ Windsor, Great Lakes Inst Environm Res, Windsor, ON, Canada;","University of Windsor - Great Lakes Institute for Environmental Research (GLIER)"
"Univ Wisconsin, Dept Entomol, Madison, WI 53706 USA.","University of Wisconsin - Department of Entomology"
"Univ Wollongong","University of Wollongong"
"Univ Wollongong, ANCORS, Squires Way, Wollongong, NSW 2500, Australia.","University of Wollongong"
"Univ Wollongong, ANCORS, Squires Way, Wollongong, NSW 2500, Australia","University of Wollongong - Australian National Centre for Ocean Resources & Security (ANCORS)"
"Univ Wollongong, Australian Natl Ctr Ocean Resources &amp; Secur, Innovat Campus, Wollongong, NSW 2522, Australia.","University of Wollongong - Australian National Centre for Ocean Resources & Security (ANCORS)"
"Univ Wollongong, Australian Natl Ctr Ocean Resources &amp; Secur, Wollongong, NSW 2500, Australia.","University of Wollongong - Australian National Centre for Ocean Resources & Security (ANCORS)"
"Univ Wollongong, Australian Natl Ctr Ocean Resources &amp; Secur, Wollongong, NSW 2522, Australia.","University of Wollongong - Australian National Centre for Ocean Resources & Security (ANCORS)"
"Univ Wollongong, Sch Earth & Environm Sci, Wollongong, NSW 2522, Australia;","University of Wollongong - School of Earth & Environment Sciences"
"Univ Wroclaw, Inst Geog &amp; Reg Dev, Dept Geoinformat &amp; Cartog, PL-50137 Wroclaw, Poland.","University of Wroclaw - Institute of Geography and Regional Development"
"Univ Wyoming, Ecosyst Sci & Management Dept, 1000 E Univ Ave, Laramie, WY 82071 USA.","University of Wyoming"
"Univ York","University of York"
"Univ York, Dept Archaeol, BioArCh, York YO10 5DD, N Yorkshire, England.","University of York"
"Univ York, York, N Yorkshire, England.","University of York"
"Univ York, Dept Archaeol, BioArCh, York YO10 5DD, N Yorkshire, England;","University of York - Archaeology Department"
"Environment Department, University of York","University of York - Environment Department"
"Odjel Geografiju, Ul Franje Tudmana 24i, Zadar 23000, Croatia.","University of Zadar - Odjel za geografiju / Department of Geography (Zadar)"
"University of Zagreb - Department of Geophysics, Faculty of Science","University of Zagreb - Department of Geophysics, Faculty of Science"
"Univ Zaragoza, Inst Biocomputat & Phys Complex Syst BIFI, Zaragoza 50018, Spain.","University of Zaragoza"
"Univ Zulia","University of Zulia"
"Univ Zulia, Fac Expt Ciencias, Div Estudios Grad, Programa Maestria Ciencias Biol,Menc Ecol Acuat, Maracaibo, Venezuela;","University of Zulia - Fac Expt Ciencias - Div Estudios Grad"
"Univ Zurich, Sci Lab UZH, Winterthurerstr 190, CH-8057 Zurich, Switzerland.","University of Zurich"
"University of Zurich","University of Zurich"
"Univ Cyprus, Dept Biol Sci, 1 Panepistimiou Str, CY-2109 Nicosia, Cyprus.","University of Cyprus"
"Univ Santiago Cali, Fac Ciencias Basicas, Cali, Colombia.","University of Santiago de Cali"
"Sorbonne Université - CNRS, Laboratoire d'Océanographie de Villefranche (LOV)","UPMC - Laboratoire d'Océanographie de Villefranche (LOV)"
"Université Pierre et Marie Curie, Laboratoire d'Océanographie, Villefranche","UPMC - Laboratoire d'Océanographie de Villefranche (LOV)"
"UPMC Univ Paris 06, CNRS, LOV, Observ Oceanol, FR-06230 Villefranche Sur Mer, France;","UPMC - Laboratoire d'Océanographie de Villefranche (LOV)"
"Pierre and Marie Curie University","UPMC Pierre and Marie Curie University (Paris 6)"
"Univ Paris 06","UPMC Pierre and Marie Curie University (Paris 6)"
"Univ Paris 06, MNHN, CNRS, Ctr Ecol & Sci Conservat,UMR7204, 55 Rue Buffon, F-75005 Paris, France.","UPMC Pierre and Marie Curie University (Paris 6)"
"Uppsala Univ, Dept Earth Sci, Villavagen 16, SE-75236 Uppsala, Sweden.","Uppsala University"
"Uppsala Univ, Evolutionary Biol Ctr, Syst Biol Program, Dept Organismal Biol, S-75236 Uppsala, Sweden.","Uppsala University"
"Uppsala University - Department of Medicinal Chemistry ","Uppsala University - Department of Medicinal Chemistry "
"US Coast Guard","US Coast Guard"
"United States Environmental Protection Agency (EPA)","US Environmental Protection Agency (US EPA)"
"US Environm Protect Agcy, Gulf Ecol Div, Natl Hlth &amp; Environm Effects Res Lab, Off Res &amp; Dev, Gulf Breeze, FL 32561 USA.","US Environmental Protection Agency (US EPA)"
"US Environmental Protection Agency","US Environmental Protection Agency (US EPA)"
"US EPA","US Environmental Protection Agency (US EPA)"
"US EPA, Atlantic Ecol Div, Natl Hlth & Environm Effects Res Lab, Off Res & Dev, 27 Tarzwell Dr, Narragansett, RI 02882 USA;","US Environmental Protection Agency (US EPA)"
"US EPA, Atlantic Ecol Div, Natl Hlth &amp; Environm Effects Res Lab, Off Res &amp; Dev, Narragansett, RI 02882 USA.","US Environmental Protection Agency (US EPA)"
"US EPA, Exposure Methods & Measurements Div, Natl Exposure Res Lab, Off Res & Dev, Res Triangle Pk, NC 27711 USA;","US Environmental Protection Agency (US EPA)"
"US EPA, Off Res & Dev, Gulf Breeze, FL 32561 USA","US Environmental Protection Agency (US EPA)"
"US EPA, Off Res & Dev, Natl Hlth & Environm Effects Lab, Atlantic Ecol Div, 27 Tarzwell Dr, Narragansett, RI 02882 USA;","US Environmental Protection Agency (US EPA)"
"US Environmental Protection Agency (US EPA), Coastal Ecology Branch","US Environmental Protection Agency (US EPA), Coastal Ecology Branch"
"US Fleet Forces Command","US Fleet Forces Command"
"U.S. Geological Survey","US Geological Survey (USGS)"
"US Geol Survey","US Geological Survey (USGS)"
"US Geol Survey, Southeast Ecol Sci Ctr, 7920 NW 71st St, Gainesville, FL 32653 USA.","US Geological Survey (USGS)"
"US Geol Survey, Western Fisheries Res Ctr, Newport, OR USA.","US Geological Survey (USGS)"
"USGS Western Fisheries Research Center, Marine Hatfield Science Center","US Geological Survey (USGS) - Western Fisheries Research Center"
"US Geol Survey, Wetland & Aquat Res Ctr, 3321 Coll Ave, Davie, FL 33314 USA;","US Geological Survey (USGS) - Wetland & Aquatic Research Centre"
"United States Navy","US Navy"
"Univ Utrecht, Copernicus Inst Sustainable Dev, Princetonlaan 8a, NL-3584 CB Utrecht, Netherlands.","Utrecht University"
"Univ Utrecht, Den Burg, Netherlands.","Utrecht University"
"Univ Utrecht, Dept Coastal Syst, Texel, Netherlands.","Utrecht University"
"Univ Utrecht, POB 140, NL-4400 AC Yerseke, Netherlands.","Utrecht University"
"Kharkiv National University (named after V.N. Karazin)","V. N. Karazin Kharkiv National University"
"Van Hall Larenstein University of Applied Sciences","Van Hall Larenstein University of Applied Sciences"
"Van Oord","Van Oord"
"Vemco","Vemco"
"Verisk Maplecroft","Verisk Maplecroft"
"Victoria University of wellington","Victoria University of wellington"
"Institute of Oceanography - Vietnam academy of science and Technology","Vietnam academy of science and Technology - Institute of Oceanography"
"Vietnam Acad Sci & Technol, Inst Trop Biol, Dept Environm Management & Technol, 85 Tran Quoc Toan Str,Dist 3, Ho Chi Minh City, Vietnam.","Vietnam Academy of Science and Technology (VAST)"
"Villanova Univ, Dept Biol, Villanova, PA 19085 USA.","Villanova University - Department of Biology"
"VIMAR (Vida Marina)","VIMAR (Vida Marina)"
"Virginia Commonwealth Univ, Ctr Environm Studies, Richmond, VA 23284 USA.","Virginia Commonwealth University"
"Virginia Commonwealth Univ, Ctr Study Biol Complex, Med Coll Virginia Campus, Richmond, VA 23284 USA.","Virginia Commonwealth University"
"Uetz Lab Research - Virginia Commonwealth University","Virginia Commonwealth University - Uetz Lab Research"
"Virginia Polytechnic Institute and State University","Virginia Polytechnic Institute and State University"
"Vlaams Kenniscentrum Water (Vlakwa)","Vlaams Kenniscentrum Water"
"Water Management and Technology - VITO","VITO - Water Management and Technology"
"Flemish Institute for Techological Research","VITO Vlaamse Instelling voor Technologisch Onderzoek"
"VITO","VITO Vlaamse Instelling voor Technologisch Onderzoek"
"vito","VITO Vlaamse Instelling voor Technologisch Onderzoek"
"Vlaamse Instelling voor Technologisch Onderzoek (VITO)","VITO Vlaamse Instelling voor Technologisch Onderzoek"
"Vlaamse Milieumaatschappij","Vlaamse Milieumaatschappij"
"Erelid VLIZ","VLIZ Flanders Marine Institute"
"Flanders Marine Inst","VLIZ Flanders Marine Institute"
"Flanders Marine Inst VLIZ","VLIZ Flanders Marine Institute"
"Flanders Marine Inst VLIZ, B-8400 Oostende, Belgium;","VLIZ Flanders Marine Institute"
"Flanders Marine Inst VLIZ, Oostende, Belgium;","VLIZ Flanders Marine Institute"
"Flanders Marine Inst VLIZ, Wandelaarkaai 7, B-8400 Oostende, Belgium;","VLIZ Flanders Marine Institute"
"Flanders Marine Inst, B-8400 Oostende, Belgium;","VLIZ Flanders Marine Institute"
"Flanders Marine Inst, Flemish Marine Data & Informat Ctr, B-8400 Oostende, Belgium;","VLIZ Flanders Marine Institute"
"Flanders Marine Inst, Wandelaarkaai 7, B-8400 Oostende, Belgium;","VLIZ Flanders Marine Institute"
"Flanders Marine Institute","VLIZ Flanders Marine Institute"
"Flanders Marine Institute - VLIZ","VLIZ Flanders Marine Institute"
"Flanders Marine Institute (VLIZ)","VLIZ Flanders Marine Institute"
"Flanders Marine lnstitute (VLIZ)","VLIZ Flanders Marine Institute"
"Flemish Marine Institute","VLIZ Flanders Marine Institute"
"InnovOcean Site","VLIZ Flanders Marine Institute"
"InnovOcean Site, Alien Species Consortium, Wandelaarkaai 7, B-8400 Oostende, Belgium;","VLIZ Flanders Marine Institute"
"MOC, VLIZ","VLIZ Flanders Marine Institute"
"Vlaams Inst Zee","VLIZ Flanders Marine Institute"
"Vlaams Inst Zee VLIZ","VLIZ Flanders Marine Institute"
"Vlaams Inst Zee VLIZ, Flanders Marine Inst, Wandelaarkaai 7, B-8400 Oostende, Belgium;","VLIZ Flanders Marine Institute"
"Vlaams Instituut voor de Zee","VLIZ Flanders Marine Institute"
"VLIZ","VLIZ Flanders Marine Institute"
"VLIZ-Flanders Marine Institute","VLIZ Flanders Marine Institute"
"Marine Biology, Ecology and Biodiversity, Vrije Universiteit Brussel (VUB)","Vrije Universiteit Brussel (VUB) - Faculty of Sciences and Bioengineering Sciences - Biology Department - Ecology And Biodiversity Research Group - Marine Biology Laboratory"
"COSMOPOLIS, Department of Geography, Vrije Universiteit Brussel","Vrije Universiteit Brussel (VUB) - Faculty of Sciences and Bioengineering Sciences - Geography Department - Cosmopolis Centre for Urban Research"
"IMARES Wageningen UR, Inst Marine Resource & Ecosyst Studies, NL-1780 AB Den Helder, Netherlands.","Wageningen University & Research (WUR)"
"IMARES Wageningen UR, NL-1790 AD Den Burg, Texel, Netherlands.","Wageningen University & Research (WUR)"
"Univ Wageningen & Res Ctr","Wageningen University & Research (WUR)"
"wur","Wageningen University & Research (WUR)"
"Wageningen Econ Res","Wageningen University & Research (WUR)"
"Wageningen Marine Research, Wageningen University","Wageningen University & Research (WUR)"
"Wageningen Univ, Chair Grp Aquat Ecol & Water Qual Management, Droevendaalsesteeg 3a, NL-6708 PD Wageningen, Netherlands.","Wageningen University & Research (WUR)"
"Wageningen University","Wageningen University & Research (WUR)"
"Wageningen University & Research","Wageningen University & Research (WUR)"
"Wageningen University, Aquatic Ecology and Water Quality Management Group","Wageningen University & Research (WUR)"
"Univ Wageningen & Res Ctr, Wageningen Inst Anim Sci, De Elst 1, NL-6708 WD Wageningen, Netherlands;","Wageningen University & Research (WUR) - Institute of Animal Science"
"Wageningen Econ Res, POB 29703, NL-2502 LS The Hague, Netherlands;","Wageningen University & Research (WUR) - Wageningen Economic Research"
"Wakayama Prefectural Museum Nat Hist","Wakayama Prefectural Museum of Natural History"
"Wakayama Prefectural Museum Nat Hist, Funo 370-1, Wakayama 6420001, Japan;","Wakayama Prefectural Museum of Natural History"
"Walloon Agricultural Research Center","Walloon Agricultural Research Center"
"Washington State Department of Ecology","Washington State Department of Ecology"
"Wayamba Univ Sri Lanka","Wayamba University of Sri Lanka"
"Wayamba Univ Sri Lanka, Dept Fisheries & Aquaculture, Makandura, Gonawila, Sri Lanka.","Wayamba University of Sri Lanka"
"Wayamba Univ Sri Lanka, Dept Fisheries &amp; Aquaculture, Makandura, Gonawila, Sri Lanka.","Wayamba University of Sri Lanka - Department of Fisheries and Aquaculture"
"Weizmann Inst Sci","Weizmann Institute of Science"
"Weizmann Inst Sci, Dept Biol Struct, IL-76100 Rehovot, Israel;","Weizmann Institute of Science - Department of Biological Structure"
"Werkgroep Patrijs","Werkgroep Patrijs"
"Department of Agriculture and Food, Western Australia","Western Australia government - Department of Agriculture and Food"
"Western Australian Museum","Western Australian Museum"
"Western Australian Museum, Dept Aquat Zool, Welshpool, WA 6016, Australia.","Western Australian Museum"
"Western Australian Museum, Welshpool, WA 6106, Australia.","Western Australian Museum"
"Western Australian Museum, Welshpool, WA 6106, Australia;","Western Australian Museum"
"Western Carolina University","Western Carolina University"
"Western Pacific Regional Fishery Management Council","Western Pacific Regional Fishery Management Council"
"Univ Western Sydney","Western Sydney University"
"Univ Western Sydney, Hawkesbury Inst Environm, Sydney, NSW, Australia;","Western Sydney University - Hawkesbury Institute for the Environment"
"Shannon Point Marine Center - Western Washington University","Western Washington University - Shannon Point Marine Center"
"Western Washington Univ, Shannon Point Marine Ctr, Anacortes, WA 98221 USA.","Western Washington University - Shannon Point Marine Center"
"Wikipedia","Wikipedia"
"Wikipedia NL","Wikipedia"
"Wildlife Conservat Soc","Wildlife Conservation Society"
"Wildlife Conservat Soc, Global Conservat Program, Bronx, NY 10460 USA;","Wildlife Conservation Society"
"Wildlife Conservation Society, Bronx, New York, USA","Wildlife Conservation Society"
"Wilhelmshaven","Wilhelmshaven"
"William Peace University","William Peace University"
"Wood","Wood Group"
"Wood Group","Wood Group"
"Woods Hole Oceanog Inst, Dept Biol, Woods Hole, MA 02543 USA.","Woods Hole Oceanographic Institution (WHOI)"
"Woods Hole Oceanographic Institution","Woods Hole Oceanographic Institution (WHOI)"
"Woods Hole Oceanographic Institution (WHOI)","Woods Hole Oceanographic Institution (WHOI)"
"UNEP World Conservat Monitoring Ctr, Cambridge CB3 0DL, England.","World Conservation Monitoring Centre (UNEP-WCMC)"
"World Conservat Monitoring Ctr, United Nations Environm Programme, Cambridge CB3 0DL, England.","World Conservation Monitoring Centre (UNEP-WCMC)"
"WorldFish","WorldFish"
"Worldwide Mollusc Species Data Base by Bagni Liggia - Genova","Worldwide Mollusc Species Data Base by Bagni Liggia"
"World Register of Marine Species (WoRMS)","WoRMS World Register of Marine Species"
"Wright State Univ","Wright State University"
"Wright State Univ, Dept Biol Sci, 3640 Colonel Glenn Highway, Dayton, OH 45435 USA.","Wright State University"
"WWF","WWF"
"wwf","WWF"
"WWF Belgium","WWF"
"Xiamen Univ","Xiamen University"
"Xiamen Univ, Coll Environm & Ecol, Xiamen 361102, Peoples R China.","Xiamen University"
"Xiamen Univ, Coll Ocean & Earth Sci, Xiamen, Fujian, Peoples R China.","Xiamen University"
"Xiamen Univ, Key Lab, Minist Educ Coastal & Wetland Ecosyst, Xiamen 361102, Peoples R China;","Xiamen University"
"Xiamen Univ, State Key Lab Marine Environm Sci, Xiamen 361102, Peoples R China.","Xiamen University"
"Xiamen University","Xiamen University"
"Xiamen Univ, Marine Biodivers & Global Change Res Ctr, Xiamen 361005, Peoples R China;","Xiamen University - Marine Biodivers & Global Change Res Ctr"
"Xiamen Univ, Marine Biodivers & Global Change Res Ctr, Xiamen 361102, Peoples R China;","Xiamen University - Marine Biodivers & Global Change Res Ctr"
"Yale University","Yale University"
"Yokohama City Univ","Yokohama City University"
"Yokohama City Univ, Sch Sci, Kanazawa Ku, 22-2 Seto, Yokohama, Kanagawa 2360027, Japan.","Yokohama City University"
"Yokohama City Univ, Yokohama, Kanagawa 2360027, Japan.","Yokohama City University"
"Yokohama City Univ, Yokohama, Kanagawa 2360027, Japan;","Yokohama City University"
"Bozok Univ, Fac Sci & Art, Dept Biol, Yozgat, Turkey.","Yozgat Bozok University - Faculty of Arts and Sciences - Department of Biology"
"Yunnan Univ, Sch Ecol & Environm Sci, Inst Ecol Res & Pollut Control Plateau Lakes, Kunming 650500, Yunnan, Peoples R China.","Yunnan University"
"Yunnan Univ, Sch Resource Environm & Earth Sci, Inst Plateau Lake Ecol & Pollut Management, Key Lab Plateau Lake Ecol & Environm Change, Kunming 650500, Yunnan, Peoples R China.","Yunnan University"
"Zhejiang Ocean Univ","Zhejiang Ocean University"
"Zhejiang Ocean Univ, Marine Fisheries Res Inst Zhejiang Prov, Zhoushan 316021, Peoples R China.","Zhejiang Ocean University"
"Zhejiang Ocean Univ, Marine Sci & Tech Coll, Lab Marine Biol Prot Engn, Zhoushan City 316022, Zhejiang, Peoples R China.","Zhejiang Ocean University"
"Zhejiang Ocean Univ, Sch Food & Pharm, Zhejiang Prov Engn Technol Res Ctr Marine Biomed, Zhoushan 316022, Peoples R China.","Zhejiang Ocean University"
"Zhejiang Univ, Ocean Coll, Inst Marine Biol, Zhoushan 316000, Peoples R China","Zhejiang Ocean University - Institute of Marine Biology"
"Zhejiang Ocean Univ, Natl Engn Res Ctr Marine Facil Aquaculture, Zhoushan 316022, Peoples R China;","Zhejiang Ocean University - Natl Engn Res Ctr Marine Facil Aquaculture"
"Zhejiang Univ","Zhejiang University"
"Zhejiang Univ Technol, Sch Pharmaceut Sci, Hangzhou 310014, Peoples R China.","Zhejiang University of Technology"
"Zhengzhou Univ","Zhengzhou University"
"Zhengzhou Univ, Coll Med, Dept Parasitol, Zhengzhou 450052, Peoples R China;","Zhengzhou University - Dept Parasitology"
"Ziegler Biosolut","Ziegler Biosolutions"
"Ziegler Biosolut, D-79761 Waldshut Tiengen, Germany.","Ziegler Biosolutions"
"Zool Forschungsmuseum Alexander Koenig, Adenauerallee 160, D-53113 Bonn, Germany.","Zoological Research Museum Alexander Koenig"
"Zool Res Museum Alexander Koenig, Ctr Mol Biodivers, D-53113 Bonn, Germany.","Zoological Research Museum Alexander Koenig"
"Zoolog Forschungsinst Museum A Koenig, D-53113 Bonn, Germany.","Zoological Research Museum Alexander Koenig"
"Zool Soc London","Zoological Society of London"
"Institute of Zoology","Zoological Society of London - Institute of Zoology"
"Zool Soc London, Inst Zool, Regents Pk, London NW1 4RY, England.","Zoological Society of London - Institute of Zoology"
"Zool Survey India","Zoological Survey of India"
"Zool Survey India, Marine Aquarium & Reg Ctr, Digha, W Bengal, India;","Zoological Survey of India - Marine Aquarium & Regional Centre"
"Zool Staatssammlung Munchen","Zoologische Staatssammlung München"
"Zool Staatssammlung Munchen, D-81247 Munich, Germany;","Zoologische Staatssammlung München"
"Zool Staatssammlung Munchen, SNSB, Munchhausenstr 21, D-81247 Munich, Germany.","Zoologische Staatssammlung München"
"Zoologische Staatssammlung München","Zoologische Staatssammlung München"
"School of Computer Science,  University of Manchester and National Centre for Text Mining (NaCTeM),  Manchester Interdisciplinary Biocentre","University of Manchester - Department of computer science"
"eOceans","eOceans"
"Filipe Medina de Sousa","personal"
"Personal","personal"
"BGI-Qingdao","BGI-Qingdao"
"Indonesian Institute of Science","Indonesian Institute of Science"
"Max Planck Institute for Mathematics in the Sciences","Max-Planck-Institute für Mathematics in the Sciences"
"MyDiveAlbum","MyDiveAlbum"
"Sorbonne UniversitÃ©/CNRS, Station Biologique de Roscoff","Sorbonne Université"
"Zoological Institute of RAS","Russian Academy of Sciences (RAS) - Institute of Zoology"
"Mathias Lindner","personal"
"Juan J. GonzÃ¡lez","personal"
"Seasearch c/o Marine Conservation Society","Marine Conservation Society"
"Atlantic Reference Centre","Huntsman Marine Science Centre - Atlantic Reference Centre (ARC)"
"Museum of Comparative Zoology","Harvard University - Harvard Museum of Comparative Zoology"
" Ocean Ecology Limited","Ocean Ecology Limited"
"Hopkins Marine Station","Stanford University - Hopkins Marine Station"
"Massey University Auckland","Massey University"
"Swedish Museum of Natural History, Department of Palaeobiology","Swedish Museum of Natural History - Department of Palaeobiology"
"Cyprus University of Technology","Cyprus University of Technology"
"Aquazoo LÃ¶bbecke Museum DÃ¼sseldorf","Aquazoo Löbbecke Museum"
"Florida International University","Florida International University"
"iNaturalist, California Academy of Scienes and National Geogrraphic Society","California Academy of Sciences"
"iNaturalist, California Academy of Scienes and National Geogrraphic Society","National Geographic Society (NGS)"
"Leigh Marine Laboratory","University of Auckland - Leigh Marine Laboratory"
"Harbor Branch Oceanographic Institution","Florida Atlantic University - Harbor Branch Oceanographic Institute"
"The Department of Agriculture, Environment and Rural Affairs","Northern Ireland Executive - Department of Agriculture, Environment and Rural Affairs (DAERA)"
"NUI Galway","National University of Ireland Galway"
"MPEDA ","India government - Marine Products Export Development Authority (MPEDA)"
"Oceana Europe","Oceana Europe"
"Fisheries and Oceans Canada, Pacific Biological Station","Government of Canada - Fisheries and Oceans Canada - Pacific Biological Station"
"Department of Fisheries and Oceans","Government of Canada - Fisheries and Oceans Canada"
"National Institutes of Health, National Center for Biotechnology Information","National Center for Biotechnology Information (NCBI)"
"Hawaii Institute of Marine Biology","University of Hawaii - Institute of Marine Biology"
"Galway Marine Institute - Foras na Mara","Marine Institute"
